reporter_id,q_mode,method_id,forecast_cv,gamma_from,gamma_to,own_delivery_increment_kw,outside_delivery_decrement_kw,feeder_delivery_increment_kw,idle_award_increment_kw,stepwise_consequence_equivalent_ratio
p001,Q0,weighted_proportional,0.3,1.3,1.4,0.8933134051961611,4.384950646441621,-3.49163724124546,1.965289491431571,2.2311983377306426
p001,Q0,weighted_proportional,0.3,1.4,1.5,0.8812792520931714,4.646318265953332,-3.765039013860161,1.9388143546049605,2.396474038330521
p001,Q0,weighted_proportional,0.3,1.5,1.6,0.6057016375707811,4.895764020391595,-4.290062382820814,2.1740821390009017,2.251876289569004
p001,Q0,weighted_proportional,0.3,1.6,1.7,0.009559489348033579,55.24041400888239,-55.230854519534354,0.14339234022048286,385.2396433724678
p001,Q95,equal_kw_reduction,0.0,1.1,1.2,1.7603357961062938,4.749549377445483,-2.9892135813391896,1.6846624404135007,2.8192884601141257
p001,Q95,equal_kw_reduction,0.05,1.0,1.1,3.334431193951,3.9855399949918007,-0.6511088010408006,0.12763725121678338,31.225523559909842
p001,Q95,equal_kw_reduction,0.05,1.1,1.2,1.7366878724522916,4.43149919592023,-2.6948113234679383,1.7083103640675028,2.5940831883550652
p001,Q95,equal_kw_reduction,0.05,1.2,1.3,0.15128517487078552,4.885692721875168,-4.734407547004382,3.2763276635263336,1.4912100447904113
p001,Q95,equal_kw_reduction,0.1,1.0,1.1,2.782116866371372,3.5183355458182146,-0.7362186794468428,0.6799515787964117,5.174391317755378
p001,Q95,equal_kw_reduction,0.1,1.1,1.2,1.7366878724522916,3.9120172327620217,-2.17532936030973,1.7083103640675028,2.289992096897119
p001,Q95,equal_kw_reduction,0.1,1.2,1.3,0.6967164422964495,4.312967976966495,-3.6162515346700452,2.7308963961006696,1.5793231786913622
p001,Q95,equal_kw_reduction,0.1,1.3,1.4,0.13231092007433276,4.722740111203064,-4.590429191128731,3.2775340209033126,1.4409431240324522
p001,Q95,equal_kw_reduction,0.2,1.0,1.1,2.380172056052853,3.156013728091777,-0.7758416720389238,1.08189638911493,2.9171127289496046
