trajectory_id,interval,penalty_to_export_value_ratio,replay_gate_triggered,replay_gate_reason,replay_total_delivery_gain_mw,replay_outsider_delivery_gain_mw,replay_total_delivery_recovery_kw,replay_outsider_delivery_recovery_kw
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,2,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0329451530932,0.0329451530932,32.9451530932,32.9451530932
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,3,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0190680316281,0.0190680316281,19.0680316281,19.0680316281
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,4,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0339106160413,0.0339106160413,33.9106160413,33.9106160413
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,5,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.052244073003,0.052244073003,52.244073003,52.244073003
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,6,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0408986043459,0.0408986043461,40.8986043459,40.8986043461
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,7,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0333166781568,0.0333166781575,33.3166781568,33.3166781575
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,8,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0164885240681,0.0164885240693,16.4885240681,16.4885240693
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,9,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0208631601614,0.0208631601732,20.8631601614,20.8631601732
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,10,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0183992570559,0.0183992570561,18.3992570559,18.3992570561
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,11,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0290478491059,0.0290478491085,29.0478491059,29.0478491085
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,12,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0302597424714,0.0302597424715,30.2597424714,30.2597424715
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,13,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0394164330435,0.0394164330435,39.4164330435,39.4164330435
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,14,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0382415458059,0.0382415458127,38.2415458059,38.2415458127
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,15,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0294222853742,0.0294222853774,29.4222853742,29.4222853774
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,16,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.032304269687,0.0323042696971,32.304269687,32.3042696971
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,1,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0144437099066,0.038398696479,14.4437099066,38.398696479
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,2,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0217179067936,0.0392296380377,21.7179067936,39.2296380377
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,3,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0197005910384,0.0286002800667,19.7005910384,28.6002800667
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,4,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0327918853531,0.0507853712422,32.7918853531,50.7853712422
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,5,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0402972230076,0.0519435712785,40.2972230076,51.9435712785
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,6,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0387273116322,0.0475745879437,38.7273116322,47.5745879437
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,7,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0315076118377,0.0411629940165,31.5076118377,41.1629940165
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,8,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0227021668099,0.0332607775314,22.7021668099,33.2607775314
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,9,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.032101425985,0.0401887593497,32.101425985,40.1887593497
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,10,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0233970638065,0.0366028884881,23.3970638065,36.6028884881
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,11,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0129505925057,0.0236616233223,12.9505925057,23.6616233223
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,12,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0163482765368,0.0348702881199,16.3482765368,34.8702881199
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,13,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0149895152028,0.0353095679125,14.9895152028,35.3095679125
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,14,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0185402863542,0.0363669820766,18.5402863542,36.3669820766
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,15,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.00605269532196,0.0293172757544,6.05269532196,29.3172757544
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,16,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0170442413716,0.0364556302018,17.0442413716,36.4556302018
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,1,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0388906223524,0.0759323506746,38.8906223524,75.9323506746
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,2,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0376013076601,0.0728814742652,37.6013076601,72.8814742652
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,3,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0263082985445,0.0560228470462,26.3082985445,56.0228470462
