trajectory_id,scenario_id,profile_id,q_mode,method_id,control_id,delivery_change_kw,jain_change_percentage_points,minimum_voltage_margin_mpu,maximum_loading_ratio,maximum_mva_excess,matched_q_pair_pass_rate
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,EXTERNALITY_CF_BETA_050,3.3292440164,0.483246337624,5.95318633527,0.909090912775,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,EXTERNALITY_CF_BETA_100,-16.3787301668,-0.168917936381,5.86251827163,0.909090915359,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-22.9539494803,0.175044618161,6.09568739645,0.909090917791,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,NO_FEEDBACK,-1.84112910168,-0.48802188232,6.12823462878,0.909090896623,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,DELIVERY_RATIO_CF_BETA_050,1.70034476283,-0.2807600769,6.04428964006,0.909090909917,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,EXTERNALITY_CF_BETA_025,-0.0601571168157,-0.146474277614,5.97970484993,0.909090909136,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,EXTERNALITY_CF_BETA_050,4.27813662937,-0.0683757996543,5.80717257372,0.90909091512,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,EXTERNALITY_CF_BETA_100,-16.4958337435,-1.15124405526,5.68795409494,0.909090918868,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q95::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,fairness_qp,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-7.14228352614,-0.285791143245,6.01527312352,0.909090913694,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,NO_FEEDBACK,-2.53476807477,-0.348977135981,7.33658316846,0.909090897131,0,1
