Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M02,2013-06-16,ECF,1.3127257563273291,2.009313995825968,0.6965882394986387,-6.20098266349753,2
M02,2013-06-16,Equal-total control,1.3136939462722332,2.0102888957434146,0.6965949494711818,-6.200017879207761,0
M02,2013-06-17,No feedback,1.4236799326954968,2.0938899566527684,0.6702100239572715,-6.206557546775222,0
M02,2013-06-17,Previous-day persistence,1.4256042981613017,1.5018492414231788,0.07624494326187689,-6.205487512400802,0
M02,2013-06-17,ECF,1.4237042120905534,2.093151149099609,0.6694469370090557,-6.206533393450298,4
M02,2013-06-17,Equal-total control,1.4236942715189518,2.09390462822023,0.6702103567012779,-6.206543290059203,0
M02,2013-06-18,No feedback,1.252789563756618,1.9028151535486504,0.6500255897920324,-6.501651868611346,0
M02,2013-06-18,Previous-day persistence,1.2447278448794181,1.302232740251775,0.057504895372356785,-6.510624237958561,0
M02,2013-06-18,ECF,1.252789563756618,1.9028151535486504,0.6500255897920324,-6.501651868606701,1
M02,2013-06-18,Equal-total control,1.252789563756618,1.9028151535486504,0.6500255897920324,-6.501651868610884,0
M02,2013-06-19,No feedback,1.2348274664316128,1.9628206869509843,0.7279932205193715,-6.843042956337453,0
M02,2013-06-19,Previous-day persistence,1.1720839940706265,1.3152588300584869,0.14317483598786032,-6.9061752701142005,0
M02,2013-06-19,ECF,1.232024938554367,1.951097149884371,0.7190722113300041,-6.845838080026109,6
M02,2013-06-19,Equal-total control,1.2348244822957941,1.962817991558712,0.727993509262918,-6.8430459326734265,0
M02,2013-06-23,No feedback,0.7866460673622844,1.8328652941244195,1.046219226762135,-8.54212377332937,0
M02,2013-06-23,Previous-day persistence,0.6884614693291635,1.0307656551359006,0.34230418580673716,-8.640703164224362,0
M02,2013-06-23,ECF,0.7961726670353225,1.9495960508003152,1.1534233837649925,-8.532650179355011,7
M02,2013-06-23,Equal-total control,0.7866429151839067,1.8328644964726029,1.0462215812886964,-8.542126917984389,0
M02,2013-06-24,No feedback,1.1275426201366656,1.9855436065500736,0.8580009864134083,-7.248027920488358,0
M02,2013-06-24,Previous-day persistence,0.772524539294048,0.8726987055778404,0.10017416628379242,-7.603140835621415,0
M02,2013-06-24,ECF,1.158099907190611,2.0264904777089066,0.8683905705182955,-7.217540678758102,4
M02,2013-06-24,Equal-total control,1.1275547964495443,1.9855580198003375,0.8580032233507934,-7.2480157793394895,0
M02,2013-06-25,No feedback,1.0143664559554992,1.8630828583759476,0.8487164024204483,-7.665124614144862,0
M02,2013-06-25,Previous-day persistence,0.8359792708002973,0.9121337942690989,0.07615452346880153,-7.844110317461321,0
M02,2013-06-25,ECF,1.014174725869213,1.8628911282896616,0.8487164024204483,-7.665316158138417,2
M02,2013-06-25,Equal-total control,1.014356042108272,1.8630714016387206,0.8487153595304485,-7.665134996580581,0
M02,2013-06-26,No feedback,1.185440503534914,1.9144645074384097,0.7290240039034956,-6.383894857882515,0
M02,2013-06-26,Previous-day persistence,1.090659539698922,1.2937077032472957,0.20304816354837352,-6.480389367164294,0
M02,2013-06-26,ECF,1.1852676685407302,1.9136870457537865,0.7284193772130559,-6.384069786831545,2
M02,2013-06-26,Equal-total control,1.1854370134262877,1.9144608741820808,0.7290238607557931,-6.383898324835034,0
M02,2013-06-27,No feedback,1.2619862962474375,2.1761834228022456,0.9141971265548081,-6.320452522396972,0
M02,2013-06-27,Previous-day persistence,1.273422175903318,1.5489031954787793,0.27548101957546145,-6.3104054431934715,0
M02,2013-06-27,ECF,1.2741337069331649,2.178108078292379,0.9039743713592141,-6.308305458959127,5
