assumed_forecast_cv,penalty_to_export_value_ratio,method_id,realized_cv_multiplier,realized_mean_bias,cell_count,mean_private_utility_gain_mw_equivalent,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
0.0,0.05,fairness_qp,1.5,0.1,60,0.007311505965136546,-0.0022292299802194604,0.0032341553491374944,0.0
0.0,0.05,flat_level,0.5,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,0.5,0.0,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,0.5,0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.0,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.0,0.0,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.0,0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.5,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.5,0.0,60,0.0,0.0,0.0,0.0
0.0,0.05,flat_level,1.5,0.1,60,0.0,0.0,0.0,0.0
0.0,0.05,max_export_lp,0.5,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.05,max_export_lp,0.5,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,max_export_lp,0.5,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,max_export_lp,1.0,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.05,max_export_lp,1.0,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,max_export_lp,1.0,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,max_export_lp,1.5,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.05,max_export_lp,1.5,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,max_export_lp,1.5,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.05,weighted_proportional,0.5,-0.1,60,0.0024902424417801833,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.05,weighted_proportional,0.5,0.0,60,0.008680890191780177,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.05,weighted_proportional,0.5,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.05,weighted_proportional,1.0,-0.1,60,0.0024902424417801833,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.05,weighted_proportional,1.0,0.0,60,0.008680890191780177,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.05,weighted_proportional,1.0,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.05,weighted_proportional,1.5,-0.1,60,0.0024902424417801833,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.05,weighted_proportional,1.5,0.0,60,0.008680890191780177,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.05,weighted_proportional,1.5,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.1,equal_kw_reduction,0.5,-0.1,60,0.0005641565009371115,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.1,equal_kw_reduction,0.5,0.0,60,0.004914947428124467,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.1,equal_kw_reduction,0.5,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.1,equal_kw_reduction,1.0,-0.1,60,0.0005641565009371115,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.1,equal_kw_reduction,1.0,0.0,60,0.004914947428124467,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.1,equal_kw_reduction,1.0,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.1,equal_kw_reduction,1.5,-0.1,60,0.0005641565009371115,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.1,equal_kw_reduction,1.5,0.0,60,0.004914947428124467,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.1,equal_kw_reduction,1.5,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.1,fairness_qp,0.5,-0.1,60,0.0014219986529432503,-0.006599339362291216,0.006599339362291216,0.0052910134604719295
0.0,0.1,fairness_qp,0.5,0.0,60,0.0056456097433550964,-0.003579167114194626,0.0037054267570704254,0.0014513670146429785
0.0,0.1,fairness_qp,0.5,0.1,60,0.007242113459462373,-0.0021278000995516503,0.0031327254684696843,0.0
0.0,0.1,fairness_qp,1.0,-0.1,60,0.0014219986529432503,-0.006599339362291216,0.006599339362291216,0.0052910134604719295
0.0,0.1,fairness_qp,1.0,0.0,60,0.0056456097433550964,-0.003579167114194626,0.0037054267570704254,0.0014513670146429785
0.0,0.1,fairness_qp,1.0,0.1,60,0.007242113459462373,-0.0021278000995516503,0.0031327254684696843,0.0
