reporter_id,reporter_bus_id,gamma,q_mode,method_id,matched_q_pair_pass,reference_total_export_mw,reported_total_export_mw,total_export_change_mw,redistribution_mw,reporter_access_gain_mw,other_participant_access_loss_mw,reported_maximum_loading_ratio,reported_minimum_voltage_pu
p022,51,2.0,Q0,equal_kw_reduction,1,1.612487277003052,1.6143219528446975,0.0018346758416454279,0.024386316320451337,0.02530365424127408,0.023468978399628592,0.9090908890888424,0.95791732712779
p022,51,2.0,Q0,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090908983503695,0.955563065083861
p022,51,2.0,Q0,max_export_lp,1,1.6572322875094938,1.659599565159356,0.0023672776498622206,0.016200021744270543,0.017383660569201667,0.015016382919339422,0.9090909110276703,0.9581263884825261
p022,51,2.0,Q0,fairness_qp,1,1.5948810760742278,1.5944445815721522,-0.0004364945020756128,0.02889177149787347,0.02867352424683569,0.029110018748911247,0.9090909015734177,0.9578769248553193
p022,51,2.0,Q95,weighted_proportional,1,1.5070032970001674,1.21933350000234,-0.28766979699782746,0.17283144832860836,0.028996549829694587,0.31666634682752215,0.9090909074223201,0.9548655148977981
p022,51,2.0,Q95,equal_kw_reduction,1,1.612487277003052,1.6143219528446975,0.0018346758416454279,0.024386316320451337,0.02530365424127408,0.023468978399628592,0.9090908964876037,0.9561980959003065
p022,51,2.0,Q95,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090909069966064,0.9543941331679278
p022,51,2.0,Q95,max_export_lp,1,1.6572322873433465,1.6595995661063863,0.0023672787630397707,0.016200248363047356,0.01738388774456731,0.015016608981527403,0.9090909069658238,0.956358150915975
p022,51,2.0,Q95,fairness_qp,1,1.5948810871865815,1.594444598150762,-0.0004364890358194984,0.028891769001649747,0.02867352448374002,0.029110013519559472,0.9090909096840352,0.9561670783200453
p023,52,1.0,Q0,weighted_proportional,1,1.5070032969994482,1.5070032969994482,0.0,0.0,0.0,0.0,0.9090908986590723,0.9572374939891118
p023,52,1.0,Q0,equal_kw_reduction,1,1.612487277003052,1.612487277003052,0.0,0.0,0.0,0.0,0.9090909085411034,0.9577651340631068
p023,52,1.0,Q0,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090908983503695,0.955563065083861
p023,52,1.0,Q0,max_export_lp,1,1.6572322875094938,1.6572322875094938,0.0,0.0,0.0,0.0,0.9090908879931944,0.9580058048566669
p023,52,1.0,Q0,fairness_qp,1,1.5948810760742278,1.5948810760742278,0.0,0.0,0.0,0.0,0.9090908901901453,0.9577105026709762
p023,52,1.0,Q95,weighted_proportional,1,1.5070032970001674,1.5070032970001674,0.0,0.0,0.0,0.0,0.9090908975310804,0.9556770734851585
p023,52,1.0,Q95,equal_kw_reduction,1,1.612487277003052,1.612487277003052,0.0,0.0,0.0,0.0,0.9090908917775226,0.9560812375763708
p023,52,1.0,Q95,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090909069966064,0.9543941331679278
p023,52,1.0,Q95,max_export_lp,1,1.6572322873433465,1.6572322873433465,0.0,0.0,0.0,0.0,0.9090909076611658,0.956265611819685
p023,52,1.0,Q95,fairness_qp,1,1.5948810871865815,1.5948810871865815,0.0,0.0,0.0,0.0,0.9090909102228547,0.9560392884682518
p023,52,1.1,Q0,weighted_proportional,1,1.5070032969994482,1.5048253003940946,-0.0021779966053536715,0.004050755469716451,0.002961757167039541,0.005139753772393362,0.9090908985835656,0.957243893771364
p023,52,1.1,Q0,equal_kw_reduction,1,1.612487277003052,1.6116777619129175,-0.0008095150901346049,0.0038668259902350783,0.0034620684451677833,0.004271583535302373,0.9090909060090699,0.957781857202815
p023,52,1.1,Q0,flat_level,1,1.1849636607191736,1.1752862777655144,-0.009677382953659164,0.00845331647682954,0.0036146250000000033,0.013292007953659077,0.9090909031986567,0.9555334323301226
p023,52,1.1,Q0,max_export_lp,1,1.6572322875094938,1.6572322871886702,-3.2082358991658566e-10,1.0847799936802589e-07,0.0,6.101385271496673e-08,0.9090909103303895,0.9580058042747152
p023,52,1.1,Q0,fairness_qp,1,1.5948810760742278,1.5941498792938562,-0.0007311967803715902,0.002772160680716039,0.002406562290530271,0.003137759070901808,0.9090908962377803,0.9577214726555003
p023,52,1.1,Q95,weighted_proportional,1,1.5070032970001674,1.5048253003924812,-0.00217799660768625,0.004050755470831765,0.0029617571669886544,0.005139753774674875,0.9090908921509906,0.9556820092047736
p023,52,1.1,Q95,equal_kw_reduction,1,1.612487277003052,1.6116777619129175,-0.0008095150901346049,0.0038668259902350783,0.0034620684451677833,0.004271583535302373,0.9090909084833564,0.9560940862435875
