method_id,forecast_cv,penalty_to_export_value_ratio,cell_count,mean_selected_gamma,inflated_request_cell_share,strict_private_gain_cell_share,endogenous_externality_cell_share,productive_high_request_cell_share,mean_private_utility_gain_mw_equivalent,mean_own_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
equal_kw_reduction,0.2,5.0,60,1.06,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.00029910589411032156,0.000374317080845366,0.0009766249330790645,-0.0006023078522336893,0.0006023078522336893,1.504223734700888e-05
equal_kw_reduction,0.2,10.0,60,1.0566666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.00022810809609366434,0.00034928093477434397,0.0008916835864095564,-0.0005424026516352025,0.0005424026516352025,1.2117283868067957e-05
equal_kw_reduction,0.3,0.0,60,1.5799999999999998,1.0,1.0,0.8666666666666667,0.13333333333333333,0.009271980278822504,0.009271980278822504,0.018245131891866495,-0.008973151613043965,0.009323428021855994,0.01549697961840992
equal_kw_reduction,0.3,0.05,60,1.5799999999999998,1.0,1.0,0.8666666666666667,0.13333333333333333,0.008497131297902007,0.009271980278822504,0.018245131891866495,-0.008973151613043965,0.009323428021855994,0.01549697961840992
equal_kw_reduction,0.3,0.1,60,1.52,1.0,1.0,0.8666666666666667,0.13333333333333333,0.007735710469093006,0.009245123974599506,0.017913694900625336,-0.008668570926025814,0.009018847334837843,0.015094135055064965
equal_kw_reduction,0.3,0.25,60,1.4966666666666666,1.0,1.0,0.8666666666666667,0.13333333333333333,0.0054779878112383,0.008938040864388479,0.017141157403291394,-0.00820311653890288,0.008724491026432364,0.013840212212600721
equal_kw_reduction,0.3,0.5,60,1.2233333333333334,1.0,1.0,0.5333333333333333,0.4666666666666667,0.002785949480561439,0.004457084611345979,0.006156300051533973,-0.0016992154401879623,0.002393743817895692,0.003342270261569081
equal_kw_reduction,0.3,1.0,60,1.1966666666666665,0.8666666666666667,0.8666666666666667,0.5,0.36666666666666664,0.0013782377984325645,0.0034710156093376633,0.0052442834001237655,-0.001773267790786089,0.0020696576627088348,0.002092777810905099
equal_kw_reduction,0.3,2.0,60,1.1266666666666665,0.5333333333333333,0.5333333333333333,0.5,0.03333333333333333,0.00036515615697976523,0.0015095543337581767,0.0029161390562829994,-0.0014065847225248397,0.0014074854081281766,0.0005721990883892058
equal_kw_reduction,0.3,5.0,60,1.0466666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.00017777501978327354,0.0002598693490291995,0.0006377154843785894,-0.00037784613534938376,0.00037784613534938376,1.641886584918519e-05
equal_kw_reduction,0.3,10.0,60,1.04,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.00011761181322936572,0.00022431543968809778,0.0004986225770298863,-0.00027430713734177825,0.00027430713734177825,1.0670362645873207e-05
flat_level,0.0,0.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,0.05,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,0.1,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,0.25,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,0.5,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,1.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,2.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,5.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.0,10.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.05,0.0,60,1.0533333333333335,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0002838578450243799,0.0002838578450243799,0.006915175382007764,-0.00663131753698345,0.00663131753698345,0.0011894526753656856
flat_level,0.05,0.05,60,1.0533333333333335,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0002243852112560945,0.0002838578450243799,0.006915175382007764,-0.00663131753698345,0.00663131753698345,0.0011894526753656856
flat_level,0.05,0.1,60,1.0533333333333335,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.00016491257748781245,0.0002838578450243799,0.006915175382007764,-0.00663131753698345,0.00663131753698345,0.0011894526753656856
flat_level,0.05,0.25,60,1.0033333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,7.956512120457782e-06,2.6315813774379037e-05,0.0002691714051782127,-0.00024285559140383808,0.00024285559140383808,7.343720661568548e-05
flat_level,0.05,0.5,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.05,1.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.05,2.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.05,5.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.05,10.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.1,0.0,60,1.1033333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0005462568813718952,0.0005462568813718952,0.014211583277033457,-0.013665326395661582,0.013665326395661582,0.0023006111390181687
flat_level,0.1,0.05,60,1.1033333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0004312263244209856,0.0005462568813718952,0.014211583277033457,-0.013665326395661582,0.013665326395661582,0.0023006111390181687
flat_level,0.1,0.1,60,1.0533333333333335,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.00035911943934507896,0.0004604095376218957,0.006853432744668408,-0.006393023207046511,0.006393023207046511,0.0010129009827681702
flat_level,0.1,0.25,60,1.0533333333333335,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.000207184291929852,0.0004604095376218957,0.006853432744668408,-0.006393023207046511,0.006393023207046511,0.0010129009827681702
flat_level,0.1,0.5,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_level,0.1,1.0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
