Behavior,Control,Seed,Date,Contiguous block,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Failed observed intervals,Failed replay intervals
No preference update,ECF,2003,2013-01-08,1,3.898762886303907,3.5909247924592207,0.3078380938446865,-6.503673098375,10,0,0
No preference update,Same update without qualification,2003,2013-01-08,1,3.8340297620439303,3.5752374515558585,0.258792310488072,-6.519123632940383,0,0,0
No preference update,Equal-total shadow,2003,2013-01-08,1,3.9100098179337146,3.5966428958608,0.313366922072915,-6.498054032097107,0,0,0
No preference update,No feedback,2003,2013-01-12,2,4.092988202129247,3.574630566213564,0.5183576359156826,-3.5055814236593554,0,0,0
No preference update,ECF,2003,2013-01-12,2,4.086242355922998,3.578632486088952,0.5076098698340458,-3.50176492939732,6,0,0
No preference update,Same update without qualification,2003,2013-01-12,2,3.8130434811411655,3.4338558319187316,0.3791876492224338,-3.6457233432097387,0,0,0
No preference update,Equal-total shadow,2003,2013-01-12,2,4.093002250429788,3.5746395334163887,0.5183627170133995,-3.5055725531014534,0,0,0
No preference update,No feedback,2003,2013-01-13,2,4.015267551259547,2.6582926398390354,1.3569749114205119,-2.6159290290843673,0,0,0
No preference update,ECF,2003,2013-01-13,2,4.010254672105582,2.653109975151403,1.3571446969541785,-2.620829026462034,8,0,0
No preference update,Same update without qualification,2003,2013-01-13,2,3.678499866002115,2.625146804238239,1.053353061763876,-2.648383317045902,0,0,0
No preference update,Equal-total shadow,2003,2013-01-13,2,4.015279790277376,2.658298097582146,1.3569816926952292,-2.615923604419695,0,0,0
No preference update,No feedback,2003,2013-01-14,2,4.023523481614769,3.3862201353784918,0.6373033462362777,-1.1537265954879878,0,0,0
No preference update,ECF,2003,2013-01-14,2,4.007034368877577,3.382003889637309,0.625030479240269,-1.1578796493805188,7,0,0
No preference update,Same update without qualification,2003,2013-01-14,2,3.7870943716099785,3.3298247229223934,0.45726964868758535,-1.2095686086207933,0,0,0
No preference update,Equal-total shadow,2003,2013-01-14,2,4.023515794181586,3.3862166503156863,0.6372991438658997,-1.1537300120143354,0,0,0
No preference update,No feedback,2003,2013-01-15,2,4.179773638029937,3.9475876229602704,0.2321860150696666,-0.5108926021954003,0,0,0
