Setting,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
PV150,2013-01-12,No feedback,4.174384634900558,4.509172373549147,0.33478773864858835,-2.8463273963787326,0
PV150,2013-01-12,Previous-day persistence,3.5392240370781667,3.7294518935124388,0.1902278564342717,-3.476805572392263,0
PV150,2013-01-13,ECF,3.1136374313027284,4.396592802134981,1.2829553708322532,-2.1267321617109225,8
PV150,2013-01-13,Equal-total control,3.097864660094479,4.356922174282719,1.2590575141882403,-2.142396076252827,0
PV150,2013-01-13,No feedback,3.097856541421392,4.358899222547378,1.2610426811259865,-2.142404080456459,0
PV150,2013-01-13,Previous-day persistence,2.36211707043943,3.368917173028448,1.0068001025890179,-2.8745923064280197,0
PV150,2013-01-14,ECF,4.158103630685271,4.7371138080806094,0.5790101773953378,-0.36587937894739614,10
PV150,2013-01-14,Equal-total control,4.16313618902052,4.751154107550846,0.5880179185303269,-0.3609193401985863,0
PV150,2013-01-14,No feedback,4.163116674951532,4.751132780813391,0.5880161058618592,-0.3609385561574207,0
PV150,2013-01-14,Previous-day persistence,2.8628545613762335,3.0229460187554076,0.16009145737917382,-1.6549208952116083,0
PV150,2013-01-15,ECF,4.348660784325855,4.540288170852383,0.19162738652652944,-0.09107412299626645,17
PV150,2013-01-15,Equal-total control,4.322450742272473,4.54531895461274,0.22286821234026677,-0.11688340389761258,0
PV150,2013-01-15,No feedback,4.322470778550406,4.545339298054029,0.2228685195036226,-0.11686360361545682,0
PV150,2013-01-15,Previous-day persistence,3.6435599912165384,3.711742092109239,0.06818210089270035,-0.7904577773743636,0
PV150,2013-01-16,ECF,4.282873393885154,4.500644768740138,0.21777137485498355,-0.7455289867134065,14
PV150,2013-01-16,Equal-total control,4.286284543432668,4.513646868987444,0.22736232555477487,-0.7421651503335063,0
PV150,2013-01-16,No feedback,4.286271706849766,4.513633884716619,0.22736217786685275,-0.7421777710627946,0
PV150,2013-01-16,Previous-day persistence,3.6263155137235747,3.7549586089684843,0.1286430952449096,-1.3974315414764482,0
PV150,2013-01-17,ECF,4.441608660079195,4.757408960956312,0.3158003008771167,-1.3880925808540894,9
PV150,2013-01-17,Equal-total control,4.44161205103796,4.767941931315263,0.32632988027730264,-1.3880851301416939,0
PV150,2013-01-17,No feedback,4.441616540868615,4.767946483122866,0.3263299422542521,-1.3880806950623894,0
PV150,2013-01-17,Previous-day persistence,3.9557310159537495,4.186387229313391,0.23065621335964143,-1.8700334849877018,0
PV150,2013-01-18,ECF,4.098790103693988,4.585946964976621,0.487156861282634,-5.161630982266139,11
PV150,2013-01-18,Equal-total control,4.095322527719418,4.592425689265047,0.49710316154563056,-5.1651328786601525,0
PV150,2013-01-18,No feedback,4.0952900448558935,4.592392352094327,0.49710230723843474,-5.165165110200154,0
PV150,2013-01-18,Previous-day persistence,3.715438728314531,4.0651222781294125,0.3496835498148816,-5.54380797092844,0
PV150,2013-01-19,ECF,3.6890113487763285,4.407659327865006,0.7186479790886781,-1.3061915771329315,7
PV150,2013-01-19,Equal-total control,3.691579664985053,4.422560025897629,0.7309803609125759,-1.3036480642327541,0
PV150,2013-01-19,No feedback,3.6915724495431093,4.422553866950935,0.7309814174078255,-1.3036552075576933,0
PV150,2013-01-19,Previous-day persistence,3.167939554828631,3.6482690130480853,0.48032945821945444,-1.8236441213451409,0
PV150,2013-01-20,ECF,3.1594405264658807,4.356282490754415,1.196841964288535,-1.6599731901807997,3
PV150,2013-01-20,Equal-total control,3.1584110469268705,4.356254479581365,1.1978434326544942,-1.6610043932323675,0
PV150,2013-01-20,No feedback,3.1584117106654475,4.3562507297188615,1.1978390190534136,-1.661003664583192,0
PV150,2013-01-20,Previous-day persistence,2.665018116091268,3.3254292436482276,0.6604111275569593,-2.152952153461267,0
PV150,2013-01-21,ECF,4.466199061823673,4.7423703988817625,0.27617133705809016,-0.3233184179124765,15
PV150,2013-01-21,Equal-total control,4.414419418381195,4.717041234988487,0.3026218166072927,-0.37417561852313613,0
PV150,2013-01-21,No feedback,4.414429888088508,4.717052191878986,0.30262230379047905,-0.3741652995453137,0
PV150,2013-01-21,Previous-day persistence,3.5216454861600877,3.5813042412983735,0.05965875513828656,-1.2620400970859464,0
PV150,2013-01-22,ECF,3.2868126526649477,3.9944927984087015,0.707680145743754,-2.2712217034255584,12
PV150,2013-01-22,Equal-total control,3.2637504701897737,3.8841960209135102,0.6204455507237363,-2.2941883450977083,0
PV150,2013-01-22,No feedback,3.2637326910414153,3.884175973452183,0.6204432824107668,-2.294205888304945,0
PV150,2013-01-22,Previous-day persistence,2.7624578057038542,3.2152900515887057,0.4528322458848514,-2.7924628006300116,0
PV150,2013-01-23,ECF,3.82221864742148,4.446566848001059,0.6243482005795796,-0.9288442118905671,7
