Setting,Date,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
R05_POS_POINT,2013-04-02,3.355827515648575,3.910936645604844,0.5551091299562692
R05_POS_POINT,2013-04-03,2.1520623716799006,3.927625903342879,1.7755635316629785
R05_POS_POINT,2013-04-04,2.947024449744256,4.271731209229915,1.3247067594856592
R05_POS_POINT,2013-04-09,3.0303230444987825,4.028208943007891,0.9978858985091081
R05_POS_POINT,2013-04-10,3.8216965282751847,4.480387611006782,0.6586910827315977
R05_POS_POINT,2013-04-14,3.4071875431884706,4.044738783827964,0.6375512406394934
R05_POS_POINT,2013-04-15,3.3058494841013473,4.102915515389008,0.797066031287661
R05_POS_POINT,2013-04-22,2.796195206559224,4.00278991242179,1.2065947058625657
R05_POS_POINT,2013-04-28,3.1774090245621434,3.9016119150029835,0.7242028904408402
R05_POS_POINT,2013-04-29,3.217960258865189,3.9792281179844715,0.7612678591192825
R05_POS_POINT,2013-04-30,2.7938738891575756,3.89928295880501,1.1054090696474344
R05_POS_POINT,2013-05-01,3.1458078002416063,4.229093534382697,1.0832857341410906
R05_POS_POINT,2013-05-06,3.0113381958756236,3.817823057540234,0.8064848616646105
R05_POS_POINT,2013-05-07,2.937874395735607,4.012431380937804,1.0745569852021974
R05_POS_POINT,2013-05-08,3.0701908317144744,4.153243776995137,1.083052945280663
R05_POS_POINT,2013-05-09,3.1084792565059414,4.09558898845983,0.9871097319538884
R05_POS_POINT,2013-05-10,3.0073908215361853,3.878842338047078,0.8714515165108927
R05_POS_POINT,2013-05-11,2.833855143456839,4.333255330807706,1.4994001873508669
R05_POS_POINT,2013-05-12,3.4233652771545273,4.625582512320058,1.2022172351655307
R05_POS_POINT,2013-05-16,2.995882884476934,4.0198753109036724,1.0239924264267386
R05_POS_POINT,2013-05-17,2.9405944840812612,3.8699851021874214,0.9293906181061602
R05_POS_POINT,2013-05-18,2.9271341553348544,3.849922403597369,0.9227882482625147
R05_POS_POINT,2013-05-19,2.8916984915046653,3.8454931161152133,0.953794624610548
